YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1965,-4.69,-3.48,-1.18,5.10,15.32,17.89,19.71,19.88,17.46,8.76,4.41,1.22,-3.20,6.41,19.16,10.21,8.15
1966,-6.45,-3.96,1.47,6.22,11.17,19.60,21.88,20.25,14.81,9.31,5.22,-1.97,-3.06,6.29,20.58,9.78,8.39
1967,-1.26,-6.40,-0.62,7.79,9.98,22.44,21.73,20.02,15.90,11.03,2.37,0.54,-3.21,5.72,21.40,9.77,8.42
1968,-6.79,-6.34,2.00,9.51,11.85,18.17,21.76,20.73,18.89,11.88,4.76,-2.97,-4.20,7.79,20.22,11.84,8.91
1969,-3.71,-3.92,-0.43,8.36,12.58,18.13,21.55,21.90,16.93,10.72,4.13,-3.86,-3.53,6.84,20.53,10.59,8.61
1970,-7.82,-3.86,-0.92,8.46,14.23,19.06,21.80,21.36,17.95,12.67,5.53,-2.43,-5.18,7.26,20.74,12.05,8.72
1971,-6.03,-2.64,-1.07,5.58,12.68,19.93,20.57,20.04,18.74,15.00,4.10,0.98,-3.70,5.73,20.18,12.61,8.71
1972,-3.47,-5.38,-0.87,5.24,15.24,17.18,21.84,19.99,17.28,8.06,2.40,-0.53,-2.62,6.54,19.67,9.25,8.21
1973,-2.32,-4.92,5.89,8.41,12.63,20.22,22.50,22.24,16.63,12.54,5.04,-1.50,-2.59,8.98,21.65,11.40,9.86
1974,-2.58,-5.22,0.67,8.04,11.90,18.79,21.22,21.20,15.45,9.68,4.71,0.00,-3.10,6.87,20.40,9.95,8.53
1975,-0.93,-1.47,-0.50,4.24,16.84,20.13,22.55,21.12,14.74,11.83,8.42,-1.96,-0.80,6.86,21.27,11.66,9.75
1976,-6.70,0.04,3.05,8.21,12.04,20.34,20.04,19.85,15.75,8.07,1.31,-5.44,-2.87,7.77,20.08,8.38,8.34
1977,-9.95,-3.94,4.49,8.46,15.84,18.15,22.36,20.18,17.13,9.90,6.40,-2.16,-6.44,9.60,20.23,11.14,8.63
1978,-6.30,-9.03,-1.95,5.95,14.26,18.54,21.46,21.39,16.13,9.87,4.76,-0.76,-5.83,6.09,20.46,10.25,7.74
1979,-6.25,-9.40,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-5.47,999.90,999.90,999.90,999.90
1980,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,9.12,3.92,-3.88,999.90,999.90,999.90,9.62,999.90
